iso,year,int_disp_flood,int_disp_hurricane,int_disp_drought
ARG,2008,635,0,0
ARG,2012,0,2000,0
ARG,2013,6300,0,0
ARG,2014,25600,6328,0
ARG,2015,35807,400,0
ARG,2016,11620,0,0
ARG,2017,16235,0,0
ARG,2018,16030,22,0
ARG,2019,22535,147,0
ARG,2020,2997,16,0
ARG,2021,177,318,0
ARG,2022,391,80,0
ARG,2023,7143,1301,0
ATG,2008,0,45,0
ATG,2017,0,1423,0
ATG,2023,0,300,0
BHS,2008,0,500,0
BHS,2015,0,2842,0
BHS,2016,0,3500,0
BHS,2017,0,1565,0
BHS,2019,0,17847,0
BLZ,2008,400,0,0
BLZ,2013,0,126,0
BLZ,2015,252,0,0
BLZ,2016,0,3500,0
BLZ,2020,0,6273,0
BLZ,2022,0,5137,0
BOL,2009,630,0,0
BOL,2010,100000,0,0
BOL,2011,10000,0,0
BOL,2012,9000,0,0
BOL,2013,2709,0,0
BOL,2014,189997,0,0
BOL,2015,7546,0,0
BOL,2016,6767,0,0
BOL,2017,3047,0,0
BOL,2018,2168,186,0
BOL,2019,75256,0,0
BOL,2020,13388,0,0
BOL,2021,906,0,0
BOL,2022,118,2822,0
BOL,2023,3268,215,0
BRA,2008,284435,25000,0
BRA,2009,522500,450,0
BRA,2010,230497,0,0
BRA,2011,169500,0,0
BRA,2013,82255,0,0
BRA,2014,150313,0,0
BRA,2015,58472,1000,0
BRA,2016,13562,0,0
BRA,2017,70867,0,0
BRA,2018,61877,21042,2358
BRA,2019,248756,27048,6146
BRA,2020,133369,219931,83
BRA,2021,181422,229506,1228
BRA,2022,249053,456619,704
BRA,2023,202374,508240,31630
BRB,2016,0,90,0
BRB,2019,0,102,0
BRB,2021,0,376,0
BRB,2023,0,29,0
CHL,2008,35000,0,0
CHL,2009,697,0,0
CHL,2012,300,0,0
CHL,2015,1095,0,0
CHL,2017,2242,0,0
CHL,2018,70,0,0
CHL,2019,1842,105,0
CHL,2020,2592,0,0
CHL,2021,28,288,0
CHL,2022,0,2,0
CHL,2023,8693,31872,0
COL,2008,30100,0,0
COL,2010,3000000,0,0
COL,2011,149000,0,0
COL,2012,64000,0,0
COL,2013,3871,2230,0
COL,2014,4715,2466,0
COL,2015,2425,1045,0
COL,2016,30629,210,0
COL,2017,21516,111,0
COL,2018,39624,11,0
COL,2019,33047,160,0
COL,2020,45534,16329,0
COL,2021,30304,0,0
COL,2022,267446,943,0
COL,2023,205101,91292,0
CRI,2008,12159,0,0
CRI,2011,2120,0,0
CRI,2012,2000,0,0
CRI,2013,45,0,0
CRI,2015,1057,0,0
CRI,2016,153,5500,0
CRI,2017,150,20674,0
CRI,2018,5525,111,0
CRI,2019,389,0,0
CRI,2020,782,2744,0
CRI,2021,290,0,0
CRI,2022,863,764,0
CRI,2023,10,283,0
CUB,2008,20000,2710000,0
CUB,2012,0,351730,0
CUB,2015,2000,0,0
CUB,2016,0,1079214,0
CUB,2017,0,1738000,0
CUB,2018,0,52400,0
CUB,2019,0,9916,0
CUB,2020,638,638793,0
CUB,2021,0,193742,0
CUB,2022,5171,79762,0
CUB,2023,29089,13044,0
DOM,2008,0,8925,0
DOM,2011,4000,12900,0
DOM,2012,22300,21083,0
DOM,2013,0,14183,0
DOM,2014,350,11091,0
DOM,2015,20410,7350,0
DOM,2016,10800,83048,0
DOM,2017,21720,47069,0
DOM,2018,15444,11740,0
DOM,2019,0,4890,0
DOM,2020,3735,27435,0
DOM,2021,0,10388,0
DOM,2022,8532,43540,0
DOM,2023,1033,40455,0
ECU,2008,13871,0,0
ECU,2010,500,0,0
ECU,2012,4796,0,0
ECU,2013,7340,0,0
ECU,2015,1527,0,0
ECU,2016,16998,0,0
ECU,2017,2960,0,0
ECU,2018,569,0,0
ECU,2019,1441,0,0
ECU,2020,1193,0,0
ECU,2021,3929,119,0
ECU,2022,1000,0,0
ECU,2023,13719,168,0
GRD,2017,0,146,0
GRD,2018,27,0,0
GRD,2019,0,26,0
GTM,2008,10764,5000,0
GTM,2010,0,112000,0
GTM,2011,28792,0,0
GTM,2014,481,0,0
GTM,2015,1916,100,0
GTM,2016,901,706,0
GTM,2017,41326,0,0
GTM,2018,5659,0,0
GTM,2019,5037,0,0
GTM,2020,4084,311183,0
GTM,2021,12012,2055,0
GTM,2022,0,69772,0
GTM,2023,0,44220,0
GUY,2017,180,15,0
GUY,2018,123,45,0
GUY,2021,216,0,0
GUY,2022,115,0,0
GUY,2023,0,40,0
HND,2008,70250,0,0
HND,2010,0,7998,0
HND,2011,12061,0,0
HND,2014,2500,0,0
HND,2015,2006,0,0
HND,2016,724,11,0
HND,2018,17094,0,0
HND,2019,300,0,0
HND,2020,1137,936060,0
HND,2021,262,0,0
HND,2022,3128,42524,0
HND,2023,4479,843,0
HTI,2008,0,138761,0
HTI,2009,9910,0,0
HTI,2010,0,72710,0
HTI,2011,0,500,0
HTI,2012,9100,76800,0
HTI,2013,873,228,0
HTI,2014,6500,0,0
HTI,2015,1488,0,0
HTI,2016,4411,351304,0
HTI,2017,2022,12539,0
HTI,2018,230,0,0
HTI,2019,140,1062,0
HTI,2020,0,13207,0
HTI,2021,559,0,0
HTI,2022,10995,0,0
HTI,2023,0,9619,0
JAM,2008,0,1520,0
JAM,2012,0,2000,0
JAM,2016,24,7000,0
JAM,2017,29,0,0
JAM,2018,7,0,0
JAM,2020,0,2,0
JAM,2021,0,16,0
KNA,2017,0,33,0
LCA,2013,0,1200,0
LCA,2016,0,260,0
LCA,2019,0,25,0
LCA,2022,560,0,0
MEX,2008,0,13100,0
MEX,2009,200000,175000,0
MEX,2010,810000,90300,0
MEX,2011,261000,285795,0
MEX,2012,0,2500,0
MEX,2013,40000,118000,0
MEX,2014,2300,16000,0
MEX,2015,464,90000,0
MEX,2016,3028,8516,0
MEX,2017,334,1942,0
MEX,2018,5027,15198,0
MEX,2019,3202,6763,0
MEX,2020,24903,75143,0
MEX,2021,12990,3778,0
MEX,2022,365,6842,0
MEX,2023,192,195230,0
NIC,2008,17500,1390,0
NIC,2010,61000,0,0
NIC,2011,10278,0,0
NIC,2013,161,0,0
NIC,2014,32834,0,0
NIC,2015,1023,0,0
NIC,2016,5282,11678,0
NIC,2017,2590,17390,0
NIC,2018,6914,0,0
NIC,2019,576,0,0
NIC,2020,706,391766,0
NIC,2022,0,16000,0
NIC,2023,0,658,0
PAN,2012,3400,0,0
PAN,2013,105,1612,0
PAN,2014,319,0,0
PAN,2015,100,0,0
PAN,2016,481,573,0
PAN,2017,0,302,0
PAN,2019,32,0,0
PAN,2020,4,3551,0
PAN,2021,2222,0,0
PAN,2022,261,200,0
PAN,2023,0,26,0
PER,2008,45000,0,0
PER,2009,45825,0,0
PER,2010,9000,0,0
PER,2011,1042,0,0
PER,2012,170619,0,0
PER,2013,16804,5453,0
PER,2014,531,0,0
PER,2015,4080,1350,0
PER,2016,12151,531,0
PER,2017,294985,0,0
PER,2018,4263,0,0
PER,2019,1262,2997,0
PER,2020,3660,4390,0
PER,2022,2997,13397,0
PER,2023,172701,7643,23
PRY,2008,0,60,0
PRY,2013,28000,0,0
PRY,2014,83565,0,0
PRY,2015,166000,5400,0
PRY,2016,1350,2250,0
PRY,2017,8976,761,0
PRY,2018,30372,0,0
PRY,2019,53747,0,0
PRY,2020,5,0,0
PRY,2023,16099,112,0
SLV,2008,95,0,0
SLV,2009,0,15000,0
SLV,2010,0,15508,0
SLV,2011,59854,0,0
SLV,2015,198,1784,0
SLV,2016,471,0,0
SLV,2017,389,0,0
SLV,2018,2090,0,0
SLV,2019,16,11,0
SLV,2020,219,16461,0
SLV,2021,551,0,0
SLV,2022,110,4534,0
SLV,2023,0,1592,0
SUR,2013,300,0,0
SUR,2017,6000,0,0
SUR,2021,6500,0,0
SUR,2022,1466,0,0
TTO,2013,29,0,0
TTO,2017,200,0,0
TTO,2018,800,0,0
TTO,2019,45,3,0
TTO,2020,6,21,0
TTO,2022,40,0,0
URY,2013,0,1000,0
URY,2014,4930,0,0
URY,2015,23571,0,0
URY,2016,12231,72,0
URY,2017,9077,23,0
URY,2018,291,10,0
URY,2019,20858,0,0
URY,2020,365,0,0
URY,2021,156,0,0
URY,2022,164,631,0
URY,2023,3860,357,1
VCT,2010,0,100,0
VCT,2013,0,2325,0
VCT,2016,50,576,0
VCT,2017,0,20,0
VCT,2019,0,232,0
VCT,2022,0,3,0
VCT,2023,0,150,0
VEN,2008,4695,0,0
VEN,2010,101684,0,0
VEN,2012,1000,0,0
VEN,2015,45481,0,0
VEN,2016,228,0,0
VEN,2017,2076,0,0
VEN,2018,31707,0,0
VEN,2019,320,0,0
VEN,2020,2362,0,0
VEN,2021,32592,0,0
VEN,2022,13366,0,0
VEN,2023,0,674,0
